X,Y,OBJECTID,asset_id,system_type,invert_level_nzvd2016,invert_level_wgtn1953,chamber_floor_depth,cover_level_nzvd2016,cover_level_wgtn1953,node_type,manhole_type,status,location,kcdc_histo_id,year_installed
1778985.466,5488015.7205,13010749,KWWN000587,Wastewater,0.96,1.33,1.59,2.55,2.92,WWMH,,INUS,Otaki,OSM00128,1978
1769936.248,5473522.7735,13010750,KWWN000907,Wastewater,1.1,1.46,1.97,3.07,3.43,WWMH,,INUS,Waikanae,WSM00931,1979
1771817.797,5473534.0495,13010751,KWWN000943,Wastewater,2.24,2.6,2.3,4.54,4.9,WWMH,,INUS,Waikanae,WSM00012,1978
1777970.788,5486602.0915,13010752,KWWN000002,Wastewater,0.63,1,1.2,1.83,2.2,WWMH,,INUS,Otaki,OSM00144,1977
1780445.34,5486369.2705,13010753,KWWN000370,Wastewater,3.99,4.36,2.4,6.39,6.76,WWMH,,INUS,Otaki,OSM00268,1976
1779167.151,5488285.3905,13010754,KWWN000606,Wastewater,4.84,5.21,1.15,5.99,6.36,WWMH,,INUS,Otaki,,2015
1779804.883,5486373.0425,13010755,KWWN000132,Wastewater,2.64,3.01,2.45,5.09,5.46,WWMH,,INUS,Otaki,OSM00318,1977
1769442.624,5473632.4735,13010756,KWWN000834,Wastewater,0.91,1.27,1.3,2.21,2.57,WWMH,,INUS,Waikanae,WSM00851,1975
1780604.32,5486978.4885,13010757,KWWN000338,Wastewater,4.15,4.52,1.53,5.68,6.05,WWMH,,INUS,Otaki,OSM00218,1977
1778577.497,5487744.0765,13010758,KWWN000437,Wastewater,1.64,2.01,1.5,3.14,3.51,WWMH,,INUS,Otaki,OSM00069,1978
1780114.947,5486434.7365,13010759,KWWN000136,Wastewater,4.17,4.54,1.28,5.45,5.82,WWMH,,INUS,Otaki,OSM00204,1977
1778628.929,5486181.4815,13010760,KWWN000033,Wastewater,1.03,1.4,1.47,2.5,2.87,WWMH,,INUS,Otaki,OSM00711,1977
1780495.055,5485374.0325,13010761,KWWN000070,Wastewater,,,1.93,,,WWMH,,INUS,Otaki,OSM00833,1979
1780421.774,5486583.6085,13010762,KWWN000331,Wastewater,3.14,3.51,2.25,5.39,5.76,WWMH,,INUS,Otaki,OSM00210,1977
1782095.866,5485625.0985,13010763,KWWN000737,Wastewater,10.25,10.63,2.3,12.55,12.93,WWMH,,INUS,Otaki,OSM00456,1978
1778704.684,5486261.3865,13010764,KWWN000021,Wastewater,1.68,2.05,1.18,2.86,3.23,WWMH,,INUS,Otaki,OSM00165,2021
1781386.572,5485776.4765,13010765,KWWN000704,Wastewater,8.23,8.61,2.27,10.5,10.88,WWMH,,INUS,Otaki,OSM00552,1978
1780883.2,5485412.5205,13010766,KWWN000057,Wastewater,8.25,8.63,3.01,11.26,11.63,WWMH,,INUS,Otaki,OSM00587,1978
1783149.104,5485261.8385,13010767,KWWN000671,Wastewater,33.8,34.18,1.12,34.92,35.3,WWMH,,INUS,Otaki,OSM00500,1978
1780401.221,5485664.5445,13010768,KWWN000257,Wastewater,5.61,5.98,1.82,7.43,7.8,WWMH,,INUS,Otaki,OSM00726,1978
1769853.462,5474086.3655,13010769,KWWN000862,Wastewater,1.09,1.45,1.31,2.4,2.76,WWMH,,INUS,Waikanae,WSM00881,1979
1778141.411,5486880.9715,13010770,KWWN000017,Wastewater,0.24,0.61,1.93,2.17,2.54,WWMH,,INUS,Otaki,OSM00701,1977
1769731.272,5473239.6845,13010771,KWWN000882,Wastewater,5.64,6,2.08,7.72,8.08,WWMH,,INUS,Waikanae,WSM00904,1976
1781301.252,5484935.4095,13010772,KWWN000098,Wastewater,11.19,11.57,1.58,12.77,13.14,WWMH,,INUS,Otaki,OSM00791,1978
1778880.112,5487232.4525,13010773,KWWN000199,Wastewater,1.83,2.21,1.44,3.27,3.64,WWMH,,INUS,Otaki,OSM00103,1978
1778622.11,5487819.6625,13010774,KWWN000435,Wastewater,1.13,1.5,1.93,3.06,3.43,WWMH,,INUS,Otaki,OSM00067,1978
1780194.521,5485659.6015,13010775,KWWN000119,Wastewater,3.87,4.24,2.82,6.69,7.06,WWCON,,INUS,Otaki,OSM00781,1979
1782913.479,5485033.4385,13010776,KWWN000531,Wastewater,13.95,14.33,2.54,16.49,16.87,WWMH,,INUS,Otaki,OSM00473,1978
1780687.323,5486776.6325,13010777,KWWN000380,Wastewater,3.83,4.21,2.73,6.57,6.94,WWMH,,INUS,Otaki,OSM00649,1977
1778671.131,5488291.3105,13010778,KWWN000481,Wastewater,4.31,4.68,0.87,5.18,5.55,WWMH,,INUS,Otaki,OSM00744,1978
1778286.179,5486610.1415,13010779,KWWN000052,Wastewater,0.2,0.57,1.29,1.49,1.86,WWMH,,INUS,Otaki,OSM00705,1977
1778209.696,5486791.0655,13010780,KWWN000018,Wastewater,-1.23,-0.86,3.04,1.81,2.18,WWMH,,INUS,Otaki,OSM00702,1977
1775169.544,5473841.9625,13010781,KWWN000953,Wastewater,67.98,68.33,0.98,68.96,69.31,WWMH,,INUS,Waikanae,WSM00022,1976
1778892.808,5487623.3395,13010782,KWWN000216,Wastewater,1.71,2.08,1.88,3.59,3.96,WWMH,,INUS,Otaki,OSM00182,1978
1780961.526,5485477.6055,13010783,KWWN000324,Wastewater,10.02,10.4,1.05,11.07,11.45,WWMH,,INUS,Otaki,OSM00777,1978
1775126.735,5473915.2405,13010784,KWWN000946,Wastewater,56.3,56.65,1.3,57.6,57.95,WWMH,,INUS,Waikanae,WSM00015,1978
1781944.779,5485415.9625,13010785,KWWN000648,Wastewater,8.93,9.31,3.85,12.78,13.16,WWMH,,INUS,Otaki,OSM00802,1978
1769818.2,5473237.1335,13010786,KWWN000878,Wastewater,10.04,10.4,2.15,12.19,12.55,WWMH,,INUS,Waikanae,WSM00899,1976
1770005.92,5474064.2195,13010787,KWWN000929,Wastewater,0.61,0.97,1.47,2.08,2.44,WWMH,,INUS,Waikanae,WSM01021,1979
1781406.709,5485018.7845,13010788,KWWN000662,Wastewater,11.84,12.21,1.16,13,13.37,WWMH,,INUS,Otaki,OSM00407,1978
1780565.612,5486628.3395,13010789,KWWN000377,Wastewater,5.18,5.55,1.18,6.36,6.73,WWMH,,INUS,Otaki,OSM00626,1977
1778914.322,5488233.9755,13010790,KWWN000565,Wastewater,0.15,0.52,2.45,2.6,2.97,WWMH,,INUS,Otaki,OSM00045,1979
1782699.009,5485920.6295,13010791,KWWN000769,Wastewater,28.45,28.83,2.24,30.69,31.07,WWMH,,INUS,Otaki,OSM00439,1978
1781629.28,5486236.9025,13010792,KWWN000716,Wastewater,13.02,13.39,1.94,14.95,15.33,WWMH,,INUS,Otaki,OSM00641,1975
1773361.269,5472817.6815,13010793,KWWN001037,Wastewater,16.18,16.54,1.8,17.98,18.34,WWMH,,INUS,Waikanae,WSM00618,1979
1779623.461,5486343.5715,13010794,KWWN000129,Wastewater,2.03,2.4,2.55,4.58,4.95,WWMH,,INUS,Otaki,OSM00200,1977
1782083.795,5485637.5795,13010795,KWWN000736,Wastewater,10.13,10.51,2.35,12.48,12.86,WWMH,,INUS,Otaki,OSM00455,1978
1769674.055,5473611.6545,13010796,KWWN000915,Wastewater,0.51,0.87,1.88,2.39,2.75,WWMH,,INUS,Waikanae,WSM00939,1996
1783053.339,5485449.5935,13010797,KWWN000808,Wastewater,35.43,35.81,1.1,36.53,36.91,WWMH,,INUS,Otaki,OSM00502,1978
1767497.89,5467836.9995,13010798,KWWN001039,Wastewater,4.65,5,0.94,5.59,5.94,WWMH,,INUS,Paraparaumu,PSM00051,1979
1780213.577,5485635.5795,13010799,KWWN000115,Wastewater,3.93,4.3,2.7,6.63,7,WWMH,,INUS,Otaki,OSM00728,1978
1778667.124,5488056.4905,13010800,KWWN000474,Wastewater,1.82,2.19,1.05,2.87,3.24,WWMH,,INUS,Otaki,OSM00043,1978
1775091.603,5473518.8335,13010801,KWWN000988,Wastewater,70.01,70.36,1.71,71.72,72.07,WWMH,,INUS,Waikanae,WSM00070,1978
1780742.572,5487173.2845,13010802,KWWN000643,Wastewater,2.86,3.23,2.5,5.36,5.73,WWMH,,INUS,Otaki,OSM00797,1977
1778710.248,5486147.9965,13010803,KWWN000028,Wastewater,1.53,1.9,1.23,2.76,3.13,WWMH,,INUS,Otaki,OSM00171,1979
1779091.875,5488139.4095,13010804,KWWN000577,Wastewater,2.33,2.7,1.2,3.53,3.9,WWMH,,INUS,Otaki,OSM00110,1978
1780756.775,5485893.3985,13010805,KWWN000265,Wastewater,,,,8.65,9.02,WWMH,,INUS,Otaki,OSM00819,1979
1778957.143,5488617.1475,13010806,KWWN000553,Wastewater,0.03,0.4,1.9,1.93,2.3,WWMH,,INUS,Otaki,OSM00024,1978
1782039.432,5485681.9435,13010807,KWWN000732,Wastewater,10.01,10.39,2.11,12.12,12.5,WWMH,,INUS,Otaki,OSM00451,1979
1783046.95,5485928.3675,13010808,KWWN000800,Wastewater,34.62,35,2.77,37.39,37.77,WWMH,,INUS,Otaki,OSM00445,1978
1779269.447,5488035.6925,13010809,KWWN000581,Wastewater,5.35,5.72,1.55,6.9,7.27,WWMH,,INUS,Otaki,OSM00114,1978
1779231.097,5488468.6355,13010810,KWWN000549,Wastewater,2.46,2.84,1.95,4.41,4.78,WWMH,,INUS,Otaki,OSM00012,1978
1779043.853,5488657.5405,13010811,KWWN000482,Wastewater,1.57,1.94,1.32,2.89,3.26,WWMH,,INUS,Otaki,OSM00001,1978
1778521.331,5487567.5245,13010812,KWWN000454,Wastewater,0.88,1.25,1.15,2.03,2.4,WWMH,,INUS,Otaki,OSM00088,1979
1780378.037,5486491.9795,13010813,KWWN000329,Wastewater,2.97,3.34,2.58,5.55,5.92,WWMH,,INUS,Otaki,OSM00208,1977
1778377.563,5486351.4935,13010814,KWWN000041,Wastewater,-0.41,-0.04,2.25,1.84,2.21,WWMH,,INUS,Otaki,OSM00155,1978
1778721.788,5488163.0905,13010815,KWWN000477,Wastewater,1.62,2,1.14,2.76,3.13,WWMH,,INUS,Otaki,OSM00676,1978
1781302.143,5486168.5695,13010816,KWWN000283,Wastewater,7.43,7.81,1.19,8.62,9,WWMH,,INUS,Otaki,OSM00343,1978
1778969.633,5486251.1245,13010817,KWWN000038,Wastewater,2.37,2.74,1.4,3.77,4.14,WWMH,,INUS,Otaki,OSM00178,1977
1780011.106,5485687.1405,13010818,KWWN000123,Wastewater,5.6,5.97,1.33,6.93,7.3,WWMH,,INUS,Otaki,OSM00785,1976
1782355.722,5485483.6115,13010819,KWWN000745,Wastewater,11.56,11.94,2.52,14.08,14.46,WWMH,,INUS,Otaki,OSM00563,1978
1769826.062,5473203.8585,13010820,KWWN000876,Wastewater,13.33,13.69,2.1,15.43,15.79,WWMH,,INUS,Waikanae,WSM00897,1976
1769932.135,5473335.6925,13010821,KWWN000895,Wastewater,12.59,12.94,0.9,13.49,13.84,WWMH,,INUS,Waikanae,WSM00919,1975
1780985.662,5486440.3835,13010822,KWWN000408,Wastewater,4.26,4.63,2.78,7.04,7.42,WWMH,,INUS,Otaki,OSM00353,1977
1780902.877,5485827.6135,13010823,KWWN000314,Wastewater,7.67,8.04,1.41,9.08,9.45,WWMH,,INUS,Otaki,OSM00597,1978
1782654.371,5485644.0145,13010824,KWWN000786,Wastewater,27.85,28.23,2.14,29.99,30.37,WWMH,,INUS,Otaki,OSM00530,1991
1781623.621,5485212.1475,13010825,KWWN000503,Wastewater,12.2,12.58,1.05,13.25,13.63,WWMH,,INUS,Otaki,OSM00766,1978
1779084.255,5488262.3795,13010826,KWWN000576,Wastewater,1.66,2.03,1.07,2.73,3.1,WWMH,,INUS,Otaki,OSM00109,1978
1780526.128,5486331.9175,13010827,KWWN000368,Wastewater,6.01,6.38,1.05,7.06,7.43,WWMH,,INUS,Otaki,OSM00266,1977
1769951.689,5473952.1125,13010828,KWWN000864,Wastewater,0.54,0.9,1.65,2.19,2.55,WWMH,,INUS,Waikanae,WSM00883,1979
1779026.157,5487462.3475,13010829,KWWN000213,Wastewater,4.08,4.45,1.11,5.19,5.56,WWMH,,INUS,Otaki,OSM00139,1978
1780540.439,5486572.8155,13010830,KWWN000353,Wastewater,4.88,5.25,1.3,6.18,6.55,WWMH,,INUS,Otaki,OSM00238,1978
1769542.475,5473477.3825,13010831,KWWN000910,Wastewater,2.08,2.44,1.34,3.42,3.78,WWMH,,INUS,Waikanae,WSM00934,1992
1769973.388,5474106.0625,13010832,KWWN000928,Wastewater,0.88,1.24,1.42,2.3,2.65,WWMH,,INUS,Waikanae,WSM01020,1979
1780674.785,5485225.6955,13010833,KWWN000063,Wastewater,7.58,7.95,1.72,9.3,9.67,WWMH,,INUS,Otaki,OSM00332,1978
1769868.709,5473238.5025,13010834,KWWN000877,Wastewater,16.24,16.59,2.1,18.34,18.7,WWMH,,INUS,Waikanae,WSM00898,1976
1781984.257,5485586.4255,13010835,KWWN000743,Wastewater,9.3,9.68,3.07,12.37,12.75,WWMH,,INUS,Otaki,OSM00547,1978
1769745.121,5473108.4325,13010836,KWWN000872,Wastewater,5.54,5.9,2.18,7.72,8.08,WWMH,,INUS,Waikanae,WSM00893,1985
1778467.796,5487475.9055,13010837,KWWN000455,Wastewater,1.67,2.04,1.46,3.13,3.5,WWMH,,INUS,Otaki,OSM00089,1979
1780461.206,5485929.6245,13010838,KWWN000255,Wastewater,6.24,6.61,1.95,8.19,8.56,WWMH,,INUS,Otaki,OSM00723,1979
1775196.995,5474012.1005,13010839,KWWN000937,Wastewater,53.21,53.56,1.34,54.55,54.9,WWMH,,INUS,Waikanae,WSM00006,1978
1778796.419,5487275.8915,13010840,KWWN000198,Wastewater,2.27,2.64,1.58,3.85,4.22,WWMH,,INUS,Otaki,OSM00101,1978
1778629.107,5487528.3015,13010841,KWWN000171,Wastewater,0.13,0.5,2.4,2.53,2.9,WWMH,,INUS,Otaki,OSM00193,1979
1775029.612,5473691.2975,13010842,KWWN000977,Wastewater,51.7,52.05,1.41,53.11,53.47,WWMH,,INUS,Waikanae,WSM00045,1978
