OBJECTID,us_node_id,ds_node_id,asset_id,system_type,pipe_type,pipe_material,pipe_class,width,length,location,status,kcdc_histo_id,year_installed,GlobalID,SHAPE_Length
13254047,KWWN000519,KWWN000518,KWWP000239,Wastewater,WWMN,AC,,225,70.96072012,Otaki,INUS,OSG00323,1980,{3D907596-AA2A-4E6A-BA50-E8B4E6F0E6A1},70.959948738448
13254048,KWWN000178,KWWN000167,KWWP000059,Wastewater,WWMN,PVC,,150,22.65025086,Otaki,INUS,OSG00064,1980,{3DADC0FB-4C3E-46CA-B172-A89CD31C932A},22.6495800401302
13254049,KWWN000671,KWWN005676,KWWP005227,Wastewater,WWMN,AC,,150,54.37241844,Otaki,INUS,20050712110107,1980,{3DD8A814-7192-4BD0-B24C-6D88389A2B66},54.3726833345442
13254050,KWWN000670,KWWN000683,KWWP000264,Wastewater,WWMN,AC,,150,28.71261677,Otaki,INUS,OSG00349,1980,{3DEC78B2-0551-4BE2-86FF-35673E6EA14F},28.7119199116493
13254051,KWWN000842,KWWN000844,KWWP002899,Wastewater,WWMN,AC,,150,88.36916775,Waikanae,INUS,WSG00049,1980,{3E42F642-8A21-444B-8EF6-2F59D04FA15F},88.3694944939642
13254052,KWWN000231,KWWN000117,KWWP004265,Wastewater,WWMN,AC,,150,103.65812605,Otaki,INUS,OSG00627,1980,{3ECB6EC6-7732-4023-8925-5979CFBCE4DB},103.658114418837
13254053,KWWN000639,KWWN000625,KWWP000615,Wastewater,WWMN,AC,,150,37.73551259,Otaki,INUS,OSG00257,1980,{3F142616-98FB-4835-91EB-2CA9EFAD18DC},37.7356979261456
13254054,KWWN000047,KWWN006564,KWWP004218,Wastewater,WWMN,AC,,150,118.75034094,Otaki,INUS,OSG00576,1980,{3F4E5CC4-8C3B-4824-BE8E-BA10896EFB40},118.749739443698
13254055,KWWN000021,KWWN000048,KWWP004220,Wastewater,WWMN,AC,,150,50.01102774,Otaki,INUS,OSG00578,1980,{3F81F871-B903-4CBD-B973-09D8761E2036},50.0115111752377
13254056,KWWN000444,KWWN000180,KWWP000078,Wastewater,WWMN,AC,,225,47.9835699,Otaki,INUS,OSG00086,1980,{3FE2153B-5C87-441F-B75F-E609084A1F71},47.9832007369157
13254057,KWWN000371,KWWN000376,KWWP004462,Wastewater,WWMN,AC,,150,11.04753203,Otaki,INUS,OSG00859,1980,{40BB5C79-AD4F-4DD4-85F9-227F34A089B3},11.0477962513477
13254058,KWWN000969,KWWN000970,KWWP003844,Wastewater,WWMN,AC,,150,20.08617913,Waikanae,INUS,WSG01172,1979,{40C6AAB2-FC80-4F88-BC2C-8E245D3A6593},20.0858090456372
13254059,KWWN000898,KWWN000899,KWWP002930,Wastewater,WWMN,AC,,150,41.09685827,Waikanae,INUS,WSG00091,1975,{40E67B71-5FFA-490F-B0AE-A47B99B8A21C},41.0965086713816
13254060,KWWN000932,KWWN000933,KWWP003863,Wastewater,WWMN,AC,,150,53.02632118,Waikanae,INUS,WSG01199,1990,{41C9BD30-BF22-4FA9-B222-89939DD0B937},53.0263233970993
