Geo Point;Geo Shape;NUMERO;TYPE;TYPE_TAMPON;ZSURF;Z_FE_ENTREE1
47.4495980941, -0.555557536;"{""coordinates"": [-0.555557536, 47.4495980941], ""type"": ""Point""}";2083910;SIMPLE;ROND;28.94;26.69
47.4498153793, -0.5553758903;"{""coordinates"": [-0.5553758903, 47.4498153793], ""type"": ""Point""}";2083908;SIMPLE;ROND;29.21;26.83
47.4498259269, -0.5552877915;"{""coordinates"": [-0.5552877915, 47.4498259269], ""type"": ""Point""}";2083906;SIMPLE;ROND;29.18;26.93
47.4497125229, -0.5549763509;"{""coordinates"": [-0.5549763509, 47.4497125229], ""type"": ""Point""}";2083904;SIMPLE;ROND;28.67;27.11
47.4497617405, -0.5543723475;"{""coordinates"": [-0.5543723475, 47.4497617405], ""type"": ""Point""}";2083901;SIMPLE;ROND;28.94;27.12
47.4497262161, -0.5543037312;"{""coordinates"": [-0.5543037312, 47.4497262161], ""type"": ""Point""}";2083899;SIMPLE;ROND;29.07;27.55
47.4494605284, -0.5542531609;"{""coordinates"": [-0.5542531609, 47.4494605284], ""type"": ""Point""}";2083897;SIMPLE;ROND;29.34;27.78
47.4491954045, -0.5542076731;"{""coordinates"": [-0.5542076731, 47.4491954045], ""type"": ""Point""}";2083896;SIMPLE;ROND;29.58;28.15
47.4497927011, -0.5540628724;"{""coordinates"": [-0.5540628724, 47.4497927011], ""type"": ""Point""}";2083894;SIMPLE;ROND;29.11;27.21
47.4497635081, -0.5540137949;"{""coordinates"": [-0.5540137949, 47.4497635081], ""type"": ""Point""}";2083892;SIMPLE;ROND;29.16;27.54
47.4494789992, -0.5539574532;"{""coordinates"": [-0.5539574532, 47.4494789992], ""type"": ""Point""}";2083890;SIMPLE;ROND;29.37;27.83
47.4491479443, -0.5538979971;"{""coordinates"": [-0.5538979971, 47.4491479443], ""type"": ""Point""}";2083889;SIMPLE;ROND;29.63;28.06
47.4082593976, -0.6199448687;"{""coordinates"": [-0.6199448687, 47.4082593976], ""type"": ""Point""}";2083865;SIMPLE;GRILLE;21.87;21.2
47.4093593888, -0.6192426186;"{""coordinates"": [-0.6192426186, 47.4093593888], ""type"": ""Point""}";2083850;SIMPLE;CARRE;24.6;24.21
47.4092345811, -0.6199427172;"{""coordinates"": [-0.6199427172, 47.4092345811], ""type"": ""Point""}";2083841;SIMPLE;CARRE;30.07;29.74
47.4079924661, -0.6223661367;"{""coordinates"": [-0.6223661367, 47.4079924661], ""type"": ""Point""}";2083829;SIMPLE;ROND;;
47.4093030871, -0.6198859681;"{""coordinates"": [-0.6198859681, 47.4093030871], ""type"": ""Point""}";2083817;SIMPLE;ROND;30.07;29.74
47.4084694654, -0.619055867;"{""coordinates"": [-0.619055867, 47.4084694654], ""type"": ""Point""}";2083813;SIMPLE;CARRE;19.66;19.5
47.4087383382, -0.6197102119;"{""coordinates"": [-0.6197102119, 47.4087383382], ""type"": ""Point""}";2083793;SIMPLE;GRILLE;24.85;24.34
47.4084786145, -0.6184228462;"{""coordinates"": [-0.6184228462, 47.4084786145], ""type"": ""Point""}";2083762;SIMPLE;ROND;18.64;18
47.4090235584, -0.617717398;"{""coordinates"": [-0.617717398, 47.4090235584], ""type"": ""Point""}";2083752;SIMPLE;ROND;17.85;16.85
47.4090641619, -0.6181137232;"{""coordinates"": [-0.6181137232, 47.4090641619], ""type"": ""Point""}";2083750;SIMPLE;CARRE;19.28;18.86
47.4090406898, -0.6181902537;"{""coordinates"": [-0.6181902537, 47.4090406898], ""type"": ""Point""}";2083745;SIMPLE;ROND;19.42;18.82
47.4091118467, -0.6180604624;"{""coordinates"": [-0.6180604624, 47.4091118467], ""type"": ""Point""}";2083741;SIMPLE;ROND;19.3;18.18
47.4091306901, -0.6180252675;"{""coordinates"": [-0.6180252675, 47.4091306901], ""type"": ""Point""}";2083738;SIMPLE;ROND;19.26;17.5
47.4793337309, -0.5577863093;"{""coordinates"": [-0.5577863093, 47.4793337309], ""type"": ""Point""}";2083726;SIMPLE;ROND;23.1;22.14
47.496764882, -0.3194411481;"{""coordinates"": [-0.3194411481, 47.496764882], ""type"": ""Point""}";2083676;SIMPLE;ROND;29.21;27.58
47.4967630539, -0.3199026625;"{""coordinates"": [-0.3199026625, 47.4967630539], ""type"": ""Point""}";2083672;SIMPLE;ROND;31.14;28.21
47.496733893, -0.3201310544;"{""coordinates"": [-0.3201310544, 47.496733893], ""type"": ""Point""}";2083671;SIMPLE;ROND;31.43;28.29
47.4867809151, -0.5914499321;"{""coordinates"": [-0.5914499321, 47.4867809151], ""type"": ""Point""}";2083638;SIMPLE;GRILLE;46.93;44.24
47.4870670366, -0.58992478;"{""coordinates"": [-0.58992478, 47.4870670366], ""type"": ""Point""}";2083617;SIMPLE;ROND;44.41;42.53
47.4615853826, -0.6618854415;"{""coordinates"": [-0.6618854415, 47.4615853826], ""type"": ""Point""}";2083604;SIMPLE;ROND;;
47.4877339494, -0.5916751724;"{""coordinates"": [-0.5916751724, 47.4877339494], ""type"": ""Point""}";2083584;SIMPLE;CARRE;42.39;41.56
47.4877778683, -0.5916469275;"{""coordinates"": [-0.5916469275, 47.4877778683], ""type"": ""Point""}";2083577;SIMPLE;ROND;;
47.4618303038, -0.6622121142;"{""coordinates"": [-0.6622121142, 47.4618303038], ""type"": ""Point""}";2083565;BORGNE;CARRE;;
47.4620431728, -0.6639715535;"{""coordinates"": [-0.6639715535, 47.4620431728], ""type"": ""Point""}";2083550;SIMPLE;ROND;;
47.4701052336, -0.5084169305;"{""coordinates"": [-0.5084169305, 47.4701052336], ""type"": ""Point""}";2083495;SIMPLE;ROND;;43.43
47.4705540106, -0.5086502934;"{""coordinates"": [-0.5086502934, 47.4705540106], ""type"": ""Point""}";2083493;SIMPLE;ROND;44.23;42.95
47.470630664, -0.5083055874;"{""coordinates"": [-0.5083055874, 47.470630664], ""type"": ""Point""}";2083492;SIMPLE;ROND;44.38;43.07
47.4623673677, -0.6639481184;"{""coordinates"": [-0.6639481184, 47.4623673677], ""type"": ""Point""}";2083489;SIMPLE;ROND;;
47.4627031201, -0.6650384737;"{""coordinates"": [-0.6650384737, 47.4627031201], ""type"": ""Point""}";2083477;SIMPLE;GRILLE;;
47.5037669765, -0.5651278489;"{""coordinates"": [-0.5651278489, 47.5037669765], ""type"": ""Point""}";2083432;SIMPLE;RECTANGULAIRE;21.36;20.53
47.5035657364, -0.5650081548;"{""coordinates"": [-0.5650081548, 47.5035657364], ""type"": ""Point""}";2083430;SIMPLE;CARRE;21.63;21.23
47.5035177836, -0.5649864622;"{""coordinates"": [-0.5649864622, 47.5035177836], ""type"": ""Point""}";2083429;SIMPLE;RECTANGULAIRE;21.64;21.36
47.4807920585, -0.6775588363;"{""coordinates"": [-0.6775588363, 47.4807920585], ""type"": ""Point""}";2083415;SIMPLE;ROND;;
47.481157015, -0.677516649;"{""coordinates"": [-0.677516649, 47.481157015], ""type"": ""Point""}";2083414;SIMPLE;ROND;;
47.4811916977, -0.6776095103;"{""coordinates"": [-0.6776095103, 47.4811916977], ""type"": ""Point""}";2083413;SIMPLE;ROND;;
47.4708755853, -0.506055282;"{""coordinates"": [-0.506055282, 47.4708755853], ""type"": ""Point""}";2083338;SIMPLE;ROND;43.92;42.64
47.4708397403, -0.5069717009;"{""coordinates"": [-0.5069717009, 47.4708397403], ""type"": ""Point""}";2083336;SIMPLE;ROND;44.23;42.99
47.4707037786, -0.5079498905;"{""coordinates"": [-0.5079498905, 47.4707037786], ""type"": ""Point""}";2083335;SIMPLE;ROND;44.64;42.98
47.4815742288, -0.6710577965;"{""coordinates"": [-0.6710577965, 47.4815742288], ""type"": ""Point""}";2083332;SIMPLE;ROND;57.71;55.49
47.4814550083, -0.6710180683;"{""coordinates"": [-0.6710180683, 47.4814550083], ""type"": ""Point""}";2083329;SIMPLE;ROND;57.85;55.39
