Geo Point;Geo Shape;NUMERO;TYPE;TYPE_RES;DIAMETRE;MATERIAU;LONGUEUR;ZAMONT;ZAVAL
47.49922035, -0.43458228;"{""coordinates"": [[-0.43439755, 47.49936211], [-0.43476701, 47.49907859]], ""type"": ""LineString""}";1065251;C;CANALISATION;300;NC;42.05;34.23;34.1
47.499233315, -0.43450486499999996;"{""coordinates"": [[-0.43424645, 47.4994271], [-0.43476328, 47.49903953]], ""type"": ""LineString""}";1065252;C;CANALISATION;400;NC;58.08;34.41;34.13
47.49962266526436, -0.43411313073522795;"{""coordinates"": [[-0.43382577, 47.49987997], [-0.43410387, 47.49963401], [-0.43439755, 47.49936211]], ""type"": ""LineString""}";1065253;C;CANALISATION;300;NC;71.79;34.68;34.23
47.499630545, -0.434018945;"{""coordinates"": [[-0.43379144, 47.49983399], [-0.43424645, 47.4994271]], ""type"": ""LineString""}";1065254;C;CANALISATION;400;NC;56.89;34.96;34.41
47.50011315226445, -0.4330313071093794;"{""coordinates"": [[-0.43278216, 47.50002983], [-0.43311662, 47.50015386], [-0.43319736, 47.5001574], [-0.43324399, 47.50015935], [-0.43328756, 47.50016129]], ""type"": ""LineString""}";1065255;C;CANALISATION;400;NC;41.67;;
47.499368919999995, -0.43440616;"{""coordinates"": [[-0.43441477, 47.49937573], [-0.43439755, 47.49936211]], ""type"": ""LineString""}";1065256;C;CANALISATION;0;NC;1.99;0;34.33
47.500013935, -0.43366086000000004;"{""coordinates"": [[-0.43349595, 47.5001479], [-0.43382577, 47.49987997]], ""type"": ""LineString""}";1065257;C;CANALISATION;300;NC;40.01;0;
47.500073945, -0.43266988999999995;"{""coordinates"": [[-0.43267058, 47.50006924], [-0.4326692, 47.50007865]], ""type"": ""LineString""}";1065259;C;CANALISATION;0;NC;1.05;35.98;0
47.500011549999996, -0.4327033850000001;"{""coordinates"": [[-0.43262461, 47.49999327], [-0.43278216, 47.50002983]], ""type"": ""LineString""}";1065260;C;CANALISATION;300;NC;12.55;36.55;35.69
47.50007153000001, -0.432684415;"{""coordinates"": [[-0.43267058, 47.50006924], [-0.43269825, 47.50007382]], ""type"": ""LineString""}";1065261;C;CANALISATION;0;NC;2.14;35.98;0
47.499298665000005, -0.433321085;"{""coordinates"": [[-0.4331704, 47.49942865], [-0.43347177, 47.49916868]], ""type"": ""LineString""}";1065273;C;CANALISATION;300;BETON;36.76;34.73;34.65
47.49806376, -0.432998185;"{""coordinates"": [[-0.43266638, 47.49826292], [-0.43332999, 47.4978646]], ""type"": ""LineString""}";1065276;C;CANALISATION;400;NC;66.79;33.22;32.44
47.497904245, -0.43324426999999993;"{""coordinates"": [[-0.43315855, 47.49794389], [-0.43332999, 47.4978646]], ""type"": ""LineString""}";1065277;C;CANALISATION;200;NC;15.63;0;34.08
47.498032855000005, -0.4340729;"{""coordinates"": [[-0.43408174, 47.49801954], [-0.43406406, 47.49804617]], ""type"": ""LineString""}";1065278;C;CANALISATION;0;NC;3.24;0;0
47.49662172, -0.430729845;"{""coordinates"": [[-0.43075001, 47.4966326], [-0.43070968, 47.49661084]], ""type"": ""LineString""}";1065279;C;CANALISATION;0;NC;3.89;0;35.16
47.49661178000001, -0.43069619000000003;"{""coordinates"": [[-0.4306827, 47.49661272], [-0.43070968, 47.49661084]], ""type"": ""LineString""}";1065280;C;CANALISATION;0;NC;2.04;0;35.56
47.496024840000004, -0.43157702500000006;"{""coordinates"": [[-0.43153461, 47.49601606], [-0.43161944, 47.49603362]], ""type"": ""LineString""}";1065281;C;CANALISATION;0;NC;6.68;0;34.5
47.496063494999994, -0.4315851050000001;"{""coordinates"": [[-0.43155077, 47.49609337], [-0.43161944, 47.49603362]], ""type"": ""LineString""}";1065282;C;CANALISATION;0;NC;8.42;0;34.5
