Geo Point;Geo Shape;GID;DIAMETRE;MATERIAU;DATEPOSE;RADIER;ZSURF;EXPLOIT;NUMERO
47.4907178165, -0.5271903965;"{""coordinates"": [-0.5271903965, 47.4907178165], ""type"": ""Point""}";63704;1000;BETON;2020-05-01;42.57;44.44;ANGERS LOIRE METROPOLE;1624764
47.5789708109, -0.5518671161;"{""coordinates"": [-0.5518671161, 47.5789708109], ""type"": ""Point""}";62021;1000;BETON;2019-03-01;55.93;57.56;ANGERS LOIRE METROPOLE;1608461
47.4922074947, -0.5654567309;"{""coordinates"": [-0.5654567309, 47.4922074947], ""type"": ""Point""}";71120;1000;BETON;2024-02-01;45.6;47.55;ANGERS LOIRE METROPOLE;1892279
47.4917626226, -0.5653480578;"{""coordinates"": [-0.5653480578, 47.4917626226], ""type"": ""Point""}";71121;1000;BETON;2024-02-01;45.12;47.03;ANGERS LOIRE METROPOLE;1892281
47.5135446949, -0.5864766442;"{""coordinates"": [-0.5864766442, 47.5135446949], ""type"": ""Point""}";73121;1000;BETON;2016-01-01;36.77;37.88;NON PRIS GESTION;1918796
47.5318807165, -0.5690710025;"{""coordinates"": [-0.5690710025, 47.5318807165], ""type"": ""Point""}";60884;1000;BETON;2019-02-28;26.12;29.5;ANGERS LOIRE METROPOLE;1467286
47.5305756173, -0.5687752223;"{""coordinates"": [-0.5687752223, 47.5305756173], ""type"": ""Point""}";60887;1000;BETON;2019-02-28;23.45;24.9;ANGERS LOIRE METROPOLE;1467292
47.5301325968, -0.5686096664;"{""coordinates"": [-0.5686096664, 47.5301325968], ""type"": ""Point""}";60889;1000;BETON;2019-02-28;20.66;22.18;ANGERS LOIRE METROPOLE;1467296
47.4764103765, -0.5496462289;"{""coordinates"": [-0.5496462289, 47.4764103765], ""type"": ""Point""}";62281;1000;BETON;2019-12-01;18.83;20.42;ANGERS LOIRE METROPOLE;1615240
47.4769093073, -0.5490950991;"{""coordinates"": [-0.5490950991, 47.4769093073], ""type"": ""Point""}";62282;1000;BETON;2020-12-01;18.62;20.54;ANGERS LOIRE METROPOLE;1615242
47.4766244462, -0.5496477959;"{""coordinates"": [-0.5496477959, 47.4766244462], ""type"": ""Point""}";62294;1000;BETON;2019-12-01;18.66;20.5;ANGERS LOIRE METROPOLE;1615268
47.4764401284, -0.5497182091;"{""coordinates"": [-0.5497182091, 47.4764401284], ""type"": ""Point""}";62287;1000;BETON;2019-12-01;18.7;20.4;ANGERS LOIRE METROPOLE;1615255
47.4765984625, -0.5499892379;"{""coordinates"": [-0.5499892379, 47.4765984625], ""type"": ""Point""}";62301;1000;BETON;2019-12-01;18.81;20.36;ANGERS LOIRE METROPOLE;1615279
47.4745075, -0.6297931786;"{""coordinates"": [-0.6297931786, 47.4745075], ""type"": ""Point""}";72451;1000;BETON;2024-10-01;51.65;53.33;ANGERS LOIRE METROPOLE;1912408
47.4741444213, -0.6278941409;"{""coordinates"": [-0.6278941409, 47.4741444213], ""type"": ""Point""}";72458;1000;BETON;2024-10-01;51.39;57.17;ANGERS LOIRE METROPOLE;1912423
47.4579273733, -0.5192055199;"{""coordinates"": [-0.5192055199, 47.4579273733], ""type"": ""Point""}";65425;1000;BETON;2021-02-01;38.13;39.88;ANGERS LOIRE METROPOLE;1641631
47.4578266627, -0.5188171591;"{""coordinates"": [-0.5188171591, 47.4578266627], ""type"": ""Point""}";65427;1000;BETON;2021-02-01;38.3;40.02;ANGERS LOIRE METROPOLE;1641635
47.483067332, -0.6342612141;"{""coordinates"": [-0.6342612141, 47.483067332], ""type"": ""Point""}";70106;1000;BETON;2017-03-01;47;49.28;ANGERS LOIRE METROPOLE;1879896
47.4824453532, -0.6347344008;"{""coordinates"": [-0.6347344008, 47.4824453532], ""type"": ""Point""}";70108;1000;BETON;2020-02-01;48.79;49.9;ANGERS LOIRE METROPOLE;1879899
47.4818491362, -0.6352386965;"{""coordinates"": [-0.6352386965, 47.4818491362], ""type"": ""Point""}";70123;1000;BETON;2020-02-01;48.83;50.18;NON PRIS GESTION;1879926
47.5585140439, -0.6778384926;"{""coordinates"": [-0.6778384926, 47.5585140439], ""type"": ""Point""}";72873;1000;BETON;2008-06-01;55.75;58.71;NON PRIS GESTION;1916741
47.5581069347, -0.6774764805;"{""coordinates"": [-0.6774764805, 47.5581069347], ""type"": ""Point""}";72878;1000;BETON;2008-06-01;57.31;59.29;NON PRIS GESTION;1916730
47.4404028042, -0.5005805388;"{""coordinates"": [-0.5005805388, 47.4404028042], ""type"": ""Point""}";51622;1000;BETON;1950-01-01;23.81;24.71;ANGERS LOIRE METROPOLE;922521
47.5943917062, -0.5562265221;"{""coordinates"": [-0.5562265221, 47.5943917062], ""type"": ""Point""}";63503;1000;BETON;2019-08-01;50.44;51.98;ANGERS LOIRE METROPOLE;1624024
47.5922672349, -0.5544982424;"{""coordinates"": [-0.5544982424, 47.5922672349], ""type"": ""Point""}";63508;1000;BETON;2019-08-01;37.38;39.21;ANGERS LOIRE METROPOLE;1624035
47.5914872658, -0.5554147113;"{""coordinates"": [-0.5554147113, 47.5914872658], ""type"": ""Point""}";63511;1000;BETON;2019-08-01;34.66;36.43;ANGERS LOIRE METROPOLE;1624041
47.5914039713, -0.5552157284;"{""coordinates"": [-0.5552157284, 47.5914039713], ""type"": ""Point""}";63513;1000;BETON;2019-08-01;34.18;35.81;ANGERS LOIRE METROPOLE;1624044
47.5909351532, -0.5553443713;"{""coordinates"": [-0.5553443713, 47.5909351532], ""type"": ""Point""}";63514;1000;BETON;2019-08-01;32.64;34.46;ANGERS LOIRE METROPOLE;1624046
47.5906976071, -0.5553188412;"{""coordinates"": [-0.5553188412, 47.5906976071], ""type"": ""Point""}";63515;1000;BETON;2019-08-01;32.44;34.06;ANGERS LOIRE METROPOLE;1624048
47.5940205817, -0.5559506981;"{""coordinates"": [-0.5559506981, 47.5940205817], ""type"": ""Point""}";63517;1000;BETON;2019-08-01;48.8;50.27;ANGERS LOIRE METROPOLE;1624053
47.4738872445, -0.5779613821;"{""coordinates"": [-0.5779613821, 47.4738872445], ""type"": ""Point""}";64603;1000;BETON;2019-10-01;21.91;23.53;ANGERS LOIRE METROPOLE;1637142
47.4738243168, -0.5778883474;"{""coordinates"": [-0.5778883474, 47.4738243168], ""type"": ""Point""}";64604;1000;BETON;2019-10-01;21.76;23.42;ANGERS LOIRE METROPOLE;1637144
47.5383891077, -0.6320436947;"{""coordinates"": [-0.6320436947, 47.5383891077], ""type"": ""Point""}";59148;1000;BETON;2018-06-01;51.52;52.44;ANGERS LOIRE METROPOLE;1172812
47.4503792142, -0.6128527026;"{""coordinates"": [-0.6128527026, 47.4503792142], ""type"": ""Point""}";67910;1000;BETON;;55.12;56.68;NON PRIS GESTION;1861959
47.4499660252, -0.6131538052;"{""coordinates"": [-0.6131538052, 47.4499660252], ""type"": ""Point""}";67911;1000;BETON;;54.85;56.94;NON PRIS GESTION;1861960
47.4493976309, -0.6151387184;"{""coordinates"": [-0.6151387184, 47.4493976309], ""type"": ""Point""}";67914;1000;BETON;;53.98;56.56;NON PRIS GESTION;1861966
47.4699909551, -0.5692298996;"{""coordinates"": [-0.5692298996, 47.4699909551], ""type"": ""Point""}";57305;1000;BETON;2018-06-01;0;0;ANGERS LOIRE METROPOLE;945399
47.455823741, -0.4629137975;"{""coordinates"": [-0.4629137975, 47.455823741], ""type"": ""Point""}";72081;1000;BETON;2014-06-01;27.15;29.01;NON PRIS GESTION;1906121
47.5271055759, -0.4621664678;"{""coordinates"": [-0.4621664678, 47.5271055759], ""type"": ""Point""}";65493;1000;BETON;;43.87;44.85;NON PRIS GESTION;1642294
47.5257770634, -0.462008614;"{""coordinates"": [-0.462008614, 47.5257770634], ""type"": ""Point""}";65498;1000;BETON;2015-12-01;41.08;44.1;NON PRIS GESTION;1642305
47.5257450756, -0.4622739724;"{""coordinates"": [-0.4622739724, 47.5257450756], ""type"": ""Point""}";65499;1000;BETON;2015-12-01;40.87;43.49;NON PRIS GESTION;1642307
47.5273380214, -0.4643398946;"{""coordinates"": [-0.4643398946, 47.5273380214], ""type"": ""Point""}";65507;1000;BETON;2015-12-01;40.52;42.64;NON PRIS GESTION;1642381
47.5250472509, -0.4660337659;"{""coordinates"": [-0.4660337659, 47.5250472509], ""type"": ""Point""}";65509;1000;BETON;2015-12-01;37.85;39.85;NON PRIS GESTION;1642392
47.5267046828, -0.4627484399;"{""coordinates"": [-0.4627484399, 47.5267046828], ""type"": ""Point""}";65510;1000;BETON;;42.27;43.8;NON PRIS GESTION;1642396
47.5267324982, -0.4649118056;"{""coordinates"": [-0.4649118056, 47.5267324982], ""type"": ""Point""}";65512;1000;BETON;;40.64;41.79;NON PRIS GESTION;1642401
47.4821133683, -0.5266504035;"{""coordinates"": [-0.5266504035, 47.4821133683], ""type"": ""Point""}";63384;600;PP;2019-10-01;41.59;43.14;ANGERS LOIRE METROPOLE;1623904
47.4818680767, -0.5273498754;"{""coordinates"": [-0.5273498754, 47.4818680767], ""type"": ""Point""}";63421;1000;BETON;2019-10-01;41.93;43.25;ANGERS LOIRE METROPOLE;1623924
47.4342283706, -0.5233065662;"{""coordinates"": [-0.5233065662, 47.4342283706], ""type"": ""Point""}";72660;1000;BETON_REVETU;2024-12-01;18.01;19.55;ANGERS LOIRE METROPOLE;1914567
47.4350499879, -0.5233215176;"{""coordinates"": [-0.5233215176, 47.4350499879], ""type"": ""Point""}";72664;1000;BETON_REVETU;2024-12-01;17.9;20.08;ANGERS LOIRE METROPOLE;1914588
47.4346693494, -0.5249440405;"{""coordinates"": [-0.5249440405, 47.4346693494], ""type"": ""Point""}";72666;1000;BETON_REVETU;2024-12-01;17.68;19.93;ANGERS LOIRE METROPOLE;1914596
47.4256450034, -0.5516427448;"{""coordinates"": [-0.5516427448, 47.4256450034], ""type"": ""Point""}";64847;1000;BETON;2020-05-01;20.36;21.94;ANGERS LOIRE METROPOLE;1638050
47.4793372068, -0.5421233773;"{""coordinates"": [-0.5421233773, 47.4793372068], ""type"": ""Point""}";72599;1000;BETON;2024-06-01;23.72;25.12;ANGERS LOIRE METROPOLE;1914131
47.5256415965, -0.4632125831;"{""coordinates"": [-0.4632125831, 47.5256415965], ""type"": ""Point""}";65517;1000;BETON;2015-12-01;40.52;42.55;NON PRIS GESTION;1642421
47.5256496538, -0.4639231985;"{""coordinates"": [-0.4639231985, 47.5256496538], ""type"": ""Point""}";65529;1000;BETON;2015-12-01;39.98;42.02;NON PRIS GESTION;1642455
47.5255971323, -0.4640864563;"{""coordinates"": [-0.4640864563, 47.5255971323], ""type"": ""Point""}";65530;1000;BETON;2015-12-01;39.72;41.83;NON PRIS GESTION;1642457
47.5263365465, -0.4643283023;"{""coordinates"": [-0.4643283023, 47.5263365465], ""type"": ""Point""}";65535;1000;BETON;;39.98;42.2;NON PRIS GESTION;1642407
47.5617234634, -0.6669853897;"{""coordinates"": [-0.6669853897, 47.5617234634], ""type"": ""Point""}";67384;1000;BETON;2022-05-01;54.44;56.25;ANGERS LOIRE METROPOLE;1773397
47.5632051513, -0.6684817481;"{""coordinates"": [-0.6684817481, 47.5632051513], ""type"": ""Point""}";67390;1000;BETON;2012-05-01;40.25;43.4;ANGERS LOIRE METROPOLE;1773409
47.4805958072, -0.6897375667;"{""coordinates"": [-0.6897375667, 47.4805958072], ""type"": ""Point""}";69541;1000;BETON;2021-01-01;60.45;62.75;ANGERS LOIRE METROPOLE;1874459
47.4810258035, -0.6894073572;"{""coordinates"": [-0.6894073572, 47.4810258035], ""type"": ""Point""}";69548;1000;BETON;2014-05-01;59.44;61.18;ANGERS LOIRE METROPOLE;1874509
47.4809188355, -0.6897480714;"{""coordinates"": [-0.6897480714, 47.4809188355], ""type"": ""Point""}";69550;1000;BETON;2014-05-01;60.02;61.63;ANGERS LOIRE METROPOLE;1874513
47.4811823026, -0.6912446769;"{""coordinates"": [-0.6912446769, 47.4811823026], ""type"": ""Point""}";69557;1000;BETON;2014-05-01;59.3;61.15;ANGERS LOIRE METROPOLE;1874548
47.5567902543, -0.6801411567;"{""coordinates"": [-0.6801411567, 47.5567902543], ""type"": ""Point""}";71820;1000;BETON;2024-02-01;68.13;0;NON PRIS GESTION;1902061
47.5560471373, -0.6786940514;"{""coordinates"": [-0.6786940514, 47.5560471373], ""type"": ""Point""}";71826;1000;BETON;2024-02-01;69.17;0;NON PRIS GESTION;1902073
47.5565553173, -0.6747613523;"{""coordinates"": [-0.6747613523, 47.5565553173], ""type"": ""Point""}";67804;1000;BETON;2020-11-01;62.86;64.71;ANGERS LOIRE METROPOLE;1777327
