Geo Point;Geo Shape;GID;MATERIAU;DATEPOSE;ECOUNORM;ZAMONT;ZAVAL;EXPLOIT;LONGUEUR;DIAMETRE;NUMERO
47.5158935702, -0.4639255424;"{""coordinates"": [[-0.4638546513, 47.5159008722], [-0.4639964335, 47.5158862682]], ""type"": ""LineString""}";33162;PVC;20111001000000;GRAVITAIRE;38.77;38.68;ANGERS LOIRE METROPOLE;10.8;250;623241
47.53684683575, -0.6231730197;"{""coordinates"": [[-0.6233046554, 47.5367242582], [-0.623041384, 47.5369694133]], ""type"": ""LineString""}";33897;PVC;20060101000000;GRAVITAIRE;45.87;45.35;NON PRIS GESTION;33.7;200;626773
47.5389924645, -0.62263174145;"{""coordinates"": [[-0.6224709663, 47.5389173642], [-0.6227925166, 47.5390675648]], ""type"": ""LineString""}";33900;PVC;20060101000000;GRAVITAIRE;36.05;32.58;NON PRIS GESTION;29.41;200;626778
47.538353683000004, -0.57539844355;"{""coordinates"": [[-0.5754091984, 47.5383564118], [-0.5753876887, 47.5383509542]], ""type"": ""LineString""}";25;AC;19830301000000;GRAVITAIRE;0;28.22;ANGERS LOIRE METROPOLE;1.63;200;135868
47.52581509710001, -0.5975049631;"{""coordinates"": [[-0.5977135263, 47.5258707344], [-0.5972963999, 47.5257594598]], ""type"": ""LineString""}";22559;AC;19790101000000;GRAVITAIRE;32.28;31.62;ANGERS LOIRE METROPOLE;33.76;200;158402
47.52891569745001, -0.6034812680999999;"{""coordinates"": [[-0.603585678, 47.5288919577], [-0.6033768582, 47.5289394372]], ""type"": ""LineString""}";20742;AC;19780101000000;GRAVITAIRE;46.42;45.91;ANGERS LOIRE METROPOLE;16.59;150;156585
47.39940835655, -0.5282313631;"{""coordinates"": [[-0.5285137484, 47.3993831028], [-0.5279489778, 47.3994336103]], ""type"": ""LineString""}";749;AC;19830101000000;GRAVITAIRE;33.6;33.36;ANGERS LOIRE METROPOLE;43;200;136592
47.40444634495, -0.52816964145;"{""coordinates"": [[-0.5280307552, 47.4043021151], [-0.5283085277, 47.4045905748]], ""type"": ""LineString""}";2365;PVC;19840101000000;GRAVITAIRE;22.02;19.79;ANGERS LOIRE METROPOLE;38.31;200;138208
47.4790365808, -0.6207319218;"{""coordinates"": [[-0.6206006031, 47.4790089576], [-0.6208632405, 47.479064204]], ""type"": ""LineString""}";32961;PVC;20110201000000;GRAVITAIRE;39.66;39.06;ANGERS LOIRE METROPOLE;20.73;400;619028
47.481050484549996, -0.5043018136499999;"{""coordinates"": [[-0.5045258516, 47.4810863195], [-0.5040777757, 47.4810146496]], ""type"": ""LineString""}";20172;F;19900101000000;GRAVITAIRE;40.43;40.32;NON PRIS GESTION;34.7;200;156015
47.4525666041, -0.6003781697;"{""coordinates"": [[-0.6004387799, 47.4525236531], [-0.6003175595, 47.4526095551]], ""type"": ""LineString""}";19053;AC;19750101000000;GRAVITAIRE;40.13;39.97;ANGERS LOIRE METROPOLE;13.22;150;154896
47.452064036950006, -0.5560104504500001;"{""coordinates"": [[-0.555767827, 47.4522886489], [-0.5562530739, 47.451839425]], ""type"": ""LineString""}";19915;AC;19720101000000;GRAVITAIRE;28.01;27.67;NON PRIS GESTION;61.91;200;155758
47.4582461492, -0.5393698366499999;"{""coordinates"": [[-0.5395562673, 47.4580912797], [-0.539183406, 47.4584010187]], ""type"": ""LineString""}";26027;PVC;19870901000000;GRAVITAIRE;41.24;40.44;ANGERS LOIRE METROPOLE;44.45;200;161870
47.488300471849996, -0.56117480995;"{""coordinates"": [[-0.5612011629, 47.4884091046], [-0.561148457, 47.4881918391]], ""type"": ""LineString""}";33067;PVC;20100601000000;GRAVITAIRE;36.41;35.37;NON PRIS GESTION;24.48;200;622581
